Origin,Destination,Carrier,Notes,Source,Origin_Airport_Name,Origin_FAA_ID,Origin_ICAO,Origin_Status,Origin_Region,Origin_Owner,Origin_Lat,Origin_Lon,Destination_Airport_Name,Destination_FAA_ID,Destination_ICAO,Destination_Status,Destination_Region,Destination_Owner,Destination_Lat,Destination_Lon
Nome,Koyuk,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Koyuk Apt,KKA,PAKK,Standard,Northern,DOT&PF Controlled,64.9394894,-161.1542656
Nome,St. Michael,Lynden Air Cargo,Out of Nome - Unalkleet,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Saint Michael Apt,SMK,PAMK,Standard,Northern,DOT&PF Controlled,63.4900556,-162.1103889
Nome,Savoonga,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Savoonga Apt,SVA,PASA,Standard,Northern,DOT&PF Controlled,63.6862667,-170.4931639
Nome,Shaktoolik,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Shaktoolik Apt,2C7,PFSH,Standard,Northern,DOT&PF Controlled,64.3710833,-161.2239722
Nome,Shishmaref,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Shishmaref Apt,SHH,PASH,Standard,Northern,DOT&PF Controlled,66.2495667,-166.0893458
Nome,Stebbins,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Stebbins Apt,WBB,,Standard,Northern,DOT&PF Controlled,63.5159708,-162.2779931
Nome,Teller,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Teller Apt,TER,PATE,Standard,Northern,DOT&PF Controlled,65.2403794,-166.3393397
Nome,Tin City,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Tin City LRRS Airport,TNC,PATC,Other,Northern,US Air Force,65.5634,-167.9217
Nome,Unalakleet,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Unalakleet Apt,UNK,PAUN,Standard,Northern,DOT&PF Controlled,63.8884956,-160.7991109
Nome,Wales,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Wales Apt,IWK,PAIW,Standard,Northern,DOT&PF Controlled,65.6225847,-168.0949389
Nome,White Mountain,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,White Mountain Apt,WMO,PAWM,Standard,Northern,DOT&PF Controlled,64.6891944,-163.41275
Nome,Council,Bering Air,,https://www.beringair.com/about/our-destinations/,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Council No 1 Apt,K29,,Standard,Northern,DOT&PF Controlled,64.8978828,-163.7034472
Nome,Little Diomede,Bering Air,,https://www.beringair.com/about/our-destinations/,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458,Little Diomede Heliport,DM2,PPDM,Standard,Northern,DOT&PF Controlled,65.75866667,-168.953
St. Mary’s,Mountain Village,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Saint Mary's Apt,KSM,PASM,Standard,Northern,DOT&PF Controlled,62.0608333,-163.3018333,Mountain Village Apt,MOU,PAMO,Standard,Northern,DOT&PF Controlled,62.0953622,-163.6820594
St. Mary’s,Pilot Station,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Saint Mary's Apt,KSM,PASM,Standard,Northern,DOT&PF Controlled,62.0608333,-163.3018333,Pilot Station Apt,0AK,,SubStandard,Northern,DOT&PF Controlled,61.9613,-162.942872
Emmonak,Alakanuk,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Emmonak Apt,ENM,PAEM,Standard,Northern,DOT&PF Controlled,62.7861389,-164.49075,Alakanuk Apt,AUK,PAUK,SubStandard,Northern,DOT&PF Controlled,62.68305,-164.72222
Emmonak,Kotlik,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Emmonak Apt,ENM,PAEM,Standard,Northern,DOT&PF Controlled,62.7861389,-164.49075,Kotlik Apt,2A9,PFKO,Standard,Northern,DOT&PF Controlled,63.0305833,-163.5326389
Emmonak,Nunam Iqua,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Emmonak Apt,ENM,PAEM,Standard,Northern,DOT&PF Controlled,62.7861389,-164.49075,Nunam Iqua Apt,SXP,,SubStandard,Northern,DOT&PF Controlled,62.5205556,-164.8477778
St. Michael,Nome,Bering Air,,,Saint Michael Apt,SMK,PAMK,Standard,Northern,DOT&PF Controlled,63.4900556,-162.1103889,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458
Kenai,Nondalton Runway,Everts Air Cargo,Historical finding,,Kenai Municipal Apt,ENA,PAEN,Other,Central,Other Government,60.5733068,-151.2447778,Nondalton Apt,5NN,PANO,SubStandard,Southcoast,DOT&PF Controlled,59.9802303,-154.8391747
Wales,Little Diomede,Bering Air,Historical flight - helicopter,,Wales Apt,IWK,PAIW,Standard,Northern,DOT&PF Controlled,65.6225847,-168.0949389,Little Diomede Heliport,DM2,PPDM,Standard,Northern,DOT&PF Controlled,65.75866667,-168.953
